time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.0952696655e-08,7.32650708741e-08,10.000324238,6.28274949299,6.28288147272,0.0,1.31651467841e-05,-1.08490165958e-05,0.0108077593108,-0.0286134383142,-0.017846172831,0.0,408.10818721323454,406.5125281310052,409.2071386688444,406.65256985408143
0.12000000000000001,1.20023693454e-05,-1.96040594071e-05,10.0087203358,6.28114394573,6.28270883434,0.0,0.000450198826024,-0.000853142298236,0.269036292739,-0.0232874538659,0.0169635313224,0.0,483.3442539856887,485.96013220629067,484.17549903936026,484.57585259466464
0.18,4.43237193614e-05,-0.00012074412442,10.0288799692,6.27952030886,0.00120957195831,0.0,0.000475860809154,-0.00267833580487,0.402912713235,-0.0359396288588,0.0441936505242,0.0,446.60211999281063,448.8174476903991,448.0346419878727,447.0047709837806
0.23999999999999996,3.8271519585e-05,-0.00036325888099,10.0556866509,6.27789502184,0.00397377652918,0.0,-0.000949084737541,-0.00559060355205,0.490607843386,-0.0135609196003,0.0495800066916,0.0,433.026777991061,433.4808825578863,432.1385864937326,434.02029477832457
0.3,-0.000108287217982,-0.000806484026962,10.0872623705,6.27678694135,0.00653794715289,0.0,-0.00421241936399,-0.00927490946073,0.561881435166,-0.0307408196353,0.0232964408448,0.0,428.7510235594818,426.51347055383746,429.015846851035,427.55487824186343
0.36000000000000004,-0.000507538828668,-0.00150840188192,10.1248791473,6.27474112102,0.00786400072226,0.0,-0.00924060320042,-0.0143278594433,0.691938363116,-0.0418331167061,0.0195959395255,0.0,446.8096640813744,446.50793552700156,447.1813787304124,446.2765358585632
0.4200000000000001,-0.00127802913135,-0.00260356295367,10.1754612454,6.27348231391,0.00862073364316,0.0,-0.016576197949,-0.022401555361,0.993915471893,0.00355464100835,-0.00745187661507,0.0,498.06747457984324,496.0855525984094,496.0961830498695,499.41705050373474
0.48000000000000015,-0.00245299988151,-0.00415018991865,10.2385132941,6.27449277073,0.00855572277018,0.0,-0.0225644171013,-0.029079426103,1.10771656747,0.0351132871674,0.00931202489893,0.0,441.4799355641663,442.86083621103177,441.094030390948,443.69223640015963
0.5400000000000001,-0.00397938430822,-0.00606034976177,10.307245077,6.27668222564,0.00877978493192,0.0,-0.028356258025,-0.0343805362399,1.18326865217,0.0391122793384,-0.0107886741552,0.0,431.12750560742865,429.42595930556877,430.22242358059634,430.5614992986457
0.6000000000000002,-0.00586421061399,-0.00825173564619,10.3817456092,6.27879642246,0.00829916478127,0.0,-0.034411855854,-0.0384304770163,1.29995857096,0.0260695765804,-0.00296379686565,0.0,444.03109729425836,444.6726031794892,443.34350542437454,442.27121734960946
0.6600000000000003,-0.00808959847163,-0.0106369417154,10.46152936,6.2807173594,0.00787274135845,0.0,-0.0397398054388,-0.0409069015444,1.35943158334,0.0418345746993,-0.0170464531666,0.0,425.57476918013884,424.3678751640131,425.4753833436131,426.8232371534542
0.7200000000000003,-0.010642649846,-0.0131349808748,10.5473955687,0.000398990225616,0.00659223365396,0.0,-0.0452377526975,-0.0420671647065,1.50259953863,0.0576024425699,-0.0317276158315,0.0,451.7679453909036,450.5827156203226,452.62128573638427,453.8896810723911
0.7800000000000004,-0.0134806552564,-0.0156385372814,10.6397210628,0.00378112666649,0.00433871817043,0.0,-0.0491621522864,-0.0410500948023,1.57482095207,0.0537813110267,-0.0529812142553,0.0,431.0634481253236,429.2629814064354,430.49927104454696,430.17812911362114
0.8400000000000004,-0.0165226372417,-0.0179940370481,10.7411086328,0.00708958230283,0.00123431808151,0.0,-0.0518555992899,-0.0370719872582,1.804431026,0.0577292398849,-0.0493672908188,0.0,477.8841840043465,478.15802929641865,479.06753489584304,479.3694019973988
0.9000000000000005,-0.0196485078823,-0.0200550924454,10.852853333,0.0104973094939,6.28134077563,0.0,-0.0520253025444,-0.0312728406861,1.92020260581,0.0548600700911,-0.0555220774401,0.0,445.34772049837585,444.8423486482744,445.1150393928842,444.88239287875746
0.9600000000000005,-0.0227171299434,-0.0216924013774,10.9719463643,0.0134685546993,6.27799201121,0.0,-0.0499077084342,-0.0229705185219,2.04933819076,0.0358278930615,-0.0564002561538,0.0,449.5368812953026,449.4636473594087,450.4991990765388,448.95918633900817
1.0200000000000005,-0.0255832281969,-0.0227644774784,11.0993197649,0.0158022945907,6.27428083799,0.0,-0.0452476265877,-0.012524248008,2.19616603091,0.04441525056,-0.0759307357123,0.0,456.4415968125802,454.8775652869308,455.0787502869668,455.7662723313431
1.0800000000000005,-0.0281193335362,-0.0232169210492,11.2317889533,0.0183216363879,6.26930429894,0.0,-0.0388632999919,-0.00232252961484,2.21942068518,0.0366334231914,-0.1031087013,0.0,417.6074275874764,415.2235329645066,417.31631283867546,416.63759297754723
1.1400000000000006,-0.0301342648109,-0.0229610103124,11.368393329,0.0206947255622,6.26313626629,0.0,-0.0276613724554,0.0110870902436,2.33381767892,0.0448267771872,-0.102191740791,0.0,446.4037524722659,446.46943861207905,445.704973371021,446.37485123249314
1.2000000000000006,-0.031249045762,-0.0217489695966,11.5165482887,0.0228749495794,6.2564111309,0.0,-0.00872305775598,0.0296256743924,2.60408212853,0.00815622309391,-0.155682777589,0.0,494.2549755431122,490.28528496915453,495.0492793814536,492.34409712697766
